word,sourceTypes,targetIds,targetLabels,canonicalTargetFlights,practiceBands,practiceFlights,accessibilityBands,vocabLevels,transparency,segmentation,protection,actualFixedOrAuthoredDestinations,dynamicEligibleDestinations,blockedDestinations,sourceOnlyButRuntimeFiltered,recommendedActivityUse,reviewCaution
review,flight-a-assessment.js | instructional-protection-registry.js,,,,,,,,,,formal-pre-post,Pretest A,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
revise,instructional-session-planner.js | master-word-inventory | script.js | word-inventory.js + instructional-word-selector.js,re | vis,re- | vis/vid,A | B,6-8,C,4-5,academic,medium,re- + vis(e),,Flight C Digital Break It Apart || Flight C Digital Figure It Out,Flight A Teacher-Led Break It Apart · Optional Practice Set || Flight A Teacher-Led Break It Apart · Retrieve || Flight A Teacher-Led Break It Apart · Word Part · Part A || Flight A Teacher-Led Figure It Out · Optional Practice Set || Flight A Teacher-Led Figure It Out · Retrieve || Flight A Teacher-Led Figure It Out · Word Part · Part A || Flight A Teacher-Led Find · Optional Practice Set || Flight A Teacher-Led Find · Retrieve || Flight A Teacher-Led Find · Word Part · Part A || Flight A Teacher-Led Learn · Optional Practice Set || Flight A Teacher-Led Learn · Retrieve || Flight A Teacher-Led Learn · Word Part · Part A || Flight A Teacher-Led Meaning · Optional Practice Set || Flight A Teacher-Led Meaning · Retrieve || Flight A Teacher-Led Meaning · Word Part · Part A || Flight A Teacher-Led Use It · Optional Practice Set || Flight A Teacher-Led Use It · Retrieve || Flight A Teacher-Led Use It · Word Part · Part A || Flight A Teacher-Led Word Hunt · Optional Practice Set || Flight A Teacher-Led Word Hunt · Retrieve || Flight A Teacher-Led Word Hunt · Word Part · Part A || Flight A Teacher-Led Word Part · Optional Practice Set || Flight A Teacher-Led Word Part · Retrieve || Flight A Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Break It Apart · Optional Practice Set || Flight B Teacher-Led Break It Apart · Retrieve || Flight B Teacher-Led Break It Apart · Word Part · Part A || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A,,,Learn / Find / Meaning; Figure It Out with scaffolding,
rewrite,instructional-session-planner.js | master-word-inventory | script.js | word-inventory.js + instructional-word-selector.js,re,re-,A,2-3,A,2-3,familiar,high,re + write,,Flight A Digital Break It Apart || Flight A Digital Word Hunt,Flight A Teacher-Led Break It Apart · Optional Practice Set || Flight A Teacher-Led Break It Apart · Retrieve || Flight A Teacher-Led Break It Apart · Word Part · Part A || Flight A Teacher-Led Figure It Out · Optional Practice Set || Flight A Teacher-Led Figure It Out · Retrieve || Flight A Teacher-Led Figure It Out · Word Part · Part A || Flight A Teacher-Led Figure It Out · Word Part · Part B || Flight A Teacher-Led Find · Optional Practice Set || Flight A Teacher-Led Find · Retrieve || Flight A Teacher-Led Find · Word Part · Part A || Flight A Teacher-Led Find · Word Part · Part B || Flight A Teacher-Led Learn · Optional Practice Set || Flight A Teacher-Led Learn · Retrieve || Flight A Teacher-Led Learn · Word Part · Part A || Flight A Teacher-Led Learn · Word Part · Part B || Flight A Teacher-Led Meaning · Optional Practice Set || Flight A Teacher-Led Meaning · Retrieve || Flight A Teacher-Led Meaning · Word Part · Part A || Flight A Teacher-Led Meaning · Word Part · Part B || Flight A Teacher-Led Use It · Optional Practice Set || Flight A Teacher-Led Use It · Retrieve || Flight A Teacher-Led Use It · Word Part · Part A || Flight A Teacher-Led Use It · Word Part · Part B || Flight A Teacher-Led Word Hunt · Optional Practice Set || Flight A Teacher-Led Word Hunt · Retrieve || Flight A Teacher-Led Word Hunt · Word Part · Part A || Flight A Teacher-Led Word Part · Optional Practice Set || Flight A Teacher-Led Word Part · Retrieve || Flight A Teacher-Led Word Part · Word Part · Part A || Flight A Teacher-Led Word Part · Word Part · Part B,,,Learn / Find / Meaning / Word Part / Figure It Out,
running,instructional-session-planner.js | master-word-inventory | script.js | word-inventory.js + instructional-word-selector.js,ing,-ing,A,2-3,A,2-3,familiar,high,runn + ing,,Flight A Digital Break It Apart || Flight A Digital Learn || Flight A Digital Word Hunt || Flight B Digital Word Hunt,Flight A Teacher-Led Break It Apart · Optional Practice Set || Flight A Teacher-Led Break It Apart · Retrieve || Flight A Teacher-Led Break It Apart · Word Part · Part A || Flight A Teacher-Led Figure It Out · Optional Practice Set || Flight A Teacher-Led Figure It Out · Retrieve || Flight A Teacher-Led Figure It Out · Word Part · Part A || Flight A Teacher-Led Find · Optional Practice Set || Flight A Teacher-Led Find · Retrieve || Flight A Teacher-Led Find · Word Part · Part A || Flight A Teacher-Led Learn · Optional Practice Set || Flight A Teacher-Led Learn · Retrieve || Flight A Teacher-Led Learn · Word Part · Part A || Flight A Teacher-Led Meaning · Optional Practice Set || Flight A Teacher-Led Meaning · Retrieve || Flight A Teacher-Led Meaning · Word Part · Part A || Flight A Teacher-Led Use It · Optional Practice Set || Flight A Teacher-Led Use It · Retrieve || Flight A Teacher-Led Use It · Word Part · Part A || Flight A Teacher-Led Word Hunt · Optional Practice Set || Flight A Teacher-Led Word Hunt · Retrieve || Flight A Teacher-Led Word Hunt · Word Part · Part A || Flight A Teacher-Led Word Part · Optional Practice Set || Flight A Teacher-Led Word Part · Retrieve || Flight A Teacher-Led Word Part · Word Part · Part A,,,Learn / Find / Meaning / Word Part / Figure It Out,
rupture,instructional-session-planner.js | master-word-inventory | script.js | word-inventory.js + instructional-word-selector.js,rupt,rupt,B,4-5,B,4-5,academic,high,,,Flight B Digital Break It Apart || Flight B Digital Find || Flight B Digital Learn || Flight B Digital Word Hunt || Flight C Digital Word Hunt,Flight B Teacher-Led Break It Apart · Optional Practice Set || Flight B Teacher-Led Break It Apart · Retrieve || Flight B Teacher-Led Break It Apart · Word Part · Part A || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Figure It Out · Word Part · Part B || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Find · Word Part · Part B || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Learn · Word Part · Part B || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Meaning · Word Part · Part B || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Use It · Word Part · Part B || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Word Part · Word Part · Part B,,,Learn / Find / Meaning / Word Part / Figure It Out,"Contains rupt = break, but the ending is not currently a validated First Volo morpheme. Use rupture for target recognition and meaning connection, not as a full segmentation, literal-parts bridge, or Build item."
ruptured,instructional-check-transfer.js | instructional-protection-registry.js,rupt,rupt,B,,,,,,,check-transfer,Check Transfer · Flight B,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
scientific,instructional-session-planner.js | master-word-inventory | script.js,ic,-ic,B,4-5,B,4-5,academic,medium,,,Flight B Digital Learn,Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
scientist,instructional-session-planner.js | master-word-inventory | script.js,ist,-ist,B,4-5,B,4-5,academic,medium,,,Flight B Digital Learn,Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
scripted,instructional-session-planner.js | master-word-inventory | script.js | word-inventory.js + instructional-word-selector.js,ed | scrib,-ed | scrib/script,A | B,4-5,B,4-5,academic,medium,script + -ed,,Flight B Digital Break It Apart || Flight B Digital Learn,Flight A Teacher-Led Build Words · Optional Practice Set || Flight A Teacher-Led Build Words · Retrieve || Flight A Teacher-Led Build Words · Word Part · Part A || Flight A Teacher-Led Figure It Out · Optional Practice Set || Flight A Teacher-Led Figure It Out · Retrieve || Flight A Teacher-Led Figure It Out · Word Part · Part A || Flight A Teacher-Led Find · Optional Practice Set || Flight A Teacher-Led Find · Retrieve || Flight A Teacher-Led Find · Word Part · Part A || Flight A Teacher-Led Learn · Optional Practice Set || Flight A Teacher-Led Learn · Retrieve || Flight A Teacher-Led Learn · Word Part · Part A || Flight A Teacher-Led Meaning · Optional Practice Set || Flight A Teacher-Led Meaning · Retrieve || Flight A Teacher-Led Meaning · Word Part · Part A || Flight A Teacher-Led Use It · Optional Practice Set || Flight A Teacher-Led Use It · Retrieve || Flight A Teacher-Led Use It · Word Part · Part A || Flight A Teacher-Led Word Hunt · Optional Practice Set || Flight A Teacher-Led Word Hunt · Retrieve || Flight A Teacher-Led Word Hunt · Word Part · Part A || Flight A Teacher-Led Word Part · Optional Practice Set || Flight A Teacher-Led Word Part · Retrieve || Flight A Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Break It Apart · Optional Practice Set || Flight B Teacher-Led Break It Apart · Retrieve || Flight B Teacher-Led Break It Apart · Word Part · Part A || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
security,instructional-session-planner.js | master-word-inventory | script.js,ity,-ity,B,4-5,B,4-5,academic,medium,,,Flight B Digital Learn,Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
seismograph,instructional-check-transfer.js | instructional-protection-registry.js,graph,graph,B,,,,,,,check-transfer,Check Transfer · Flight B,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
semicircle,instructional-protection-registry.js | master-word-inventory | script.js | transfer-challenge-data.js,semi,semi-,B,4-5,B,4-5,familiar,high,semi + circle,migration-challenge,Migration Challenge · Flight B · Transfer Form A,,Flight B Digital Find || Flight B Digital Learn || Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,Flight B Digital Find || Flight B Digital Learn,Learn / Find / Meaning / Word Part / Figure It Out,
semicolon,instructional-session-planner.js | master-word-inventory | script.js,semi,semi-,B,4-5,B,4-5,academic,medium,,,Flight B Digital Learn,Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Find · Word Part · Part B || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Meaning · Word Part · Part B || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Word Part · Word Part · Part B,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
semiconscious,instructional-check-transfer.js | instructional-protection-registry.js,semi,semi-,B,,,,,,,check-transfer,Check Transfer · Flight B,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
semifinal,instructional-session-planner.js | master-word-inventory | script.js | word-inventory.js + instructional-word-selector.js,semi,semi-,B,4-5,B,4-5,academic,medium,semi- + final,,Flight B Digital Break It Apart || Flight B Digital Figure It Out || Flight B Digital Learn,Flight B Teacher-Led Break It Apart · Optional Practice Set || Flight B Teacher-Led Break It Apart · Retrieve || Flight B Teacher-Led Break It Apart · Word Part · Part A || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Find · Word Part · Part B || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Meaning · Word Part · Part B || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Word Part · Word Part · Part B,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
semitransparent,instructional-check-transfer.js | instructional-protection-registry.js,semi,semi-,B,,,,,,,check-transfer,Check Transfer · Flight B,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
sensitive,instructional-session-planner.js | master-word-inventory | script.js,ive,-ive,B,4-5,B,4-5,academic,medium,,,Flight B Digital Learn,Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Word Part · Word Part · Part B,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
sequel,instructional-check-transfer.js | instructional-protection-registry.js,sequ,sequ,C,,,,,,,check-transfer,Check Transfer · Flight C,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
sequence,instructional-session-planner.js | master-word-inventory | script.js | use-it.js | word-inventory.js + instructional-word-selector.js,ence | sequ,-ence | sequ,C,6-8,C,6-8,academic,medium,sequ + ence,,Flight B Digital Word Hunt || Flight C Digital Break It Apart || Flight C Digital Build Words || Flight C Digital Figure It Out || Flight C Digital Find || Flight C Digital Learn || Flight C Digital Use It || Flight C Digital Word Hunt,Flight C Teacher-Led Break It Apart · Optional Practice Set || Flight C Teacher-Led Break It Apart · Retrieve || Flight C Teacher-Led Break It Apart · Word Part · Part A || Flight C Teacher-Led Build Words · Optional Practice Set || Flight C Teacher-Led Build Words · Retrieve || Flight C Teacher-Led Build Words · Word Part · Part A || Flight C Teacher-Led Build Words · Word Part · Part B || Flight C Teacher-Led Figure It Out · Optional Practice Set || Flight C Teacher-Led Figure It Out · Retrieve || Flight C Teacher-Led Figure It Out · Word Part · Part A || Flight C Teacher-Led Find · Optional Practice Set || Flight C Teacher-Led Find · Retrieve || Flight C Teacher-Led Find · Word Part · Part A || Flight C Teacher-Led Find · Word Part · Part B || Flight C Teacher-Led Learn · Optional Practice Set || Flight C Teacher-Led Learn · Retrieve || Flight C Teacher-Led Learn · Word Part · Part A || Flight C Teacher-Led Meaning · Optional Practice Set || Flight C Teacher-Led Meaning · Retrieve || Flight C Teacher-Led Meaning · Word Part · Part A || Flight C Teacher-Led Meaning · Word Part · Part B || Flight C Teacher-Led Use It · Optional Practice Set || Flight C Teacher-Led Use It · Retrieve || Flight C Teacher-Led Use It · Word Part · Part A || Flight C Teacher-Led Word Hunt · Optional Practice Set || Flight C Teacher-Led Word Hunt · Retrieve || Flight C Teacher-Led Word Hunt · Word Part · Part A || Flight C Teacher-Led Word Part · Optional Practice Set || Flight C Teacher-Led Word Part · Retrieve || Flight C Teacher-Led Word Part · Word Part · Part A || Flight C Teacher-Led Word Part · Word Part · Part B,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,Avoid presenting sequ + -ence as a fully compositional literal bridge. Use sequence to teach sequ = follow and connect that root to the whole-word meaning.
sequential,instructional-check-transfer.js | instructional-protection-registry.js,sequ,sequ,C,,,,,,,check-transfer,Check Transfer · Flight C,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
shimmering,instructional-check-transfer.js | instructional-protection-registry.js,ing,-ing,A,,,,,,,check-transfer,Check Transfer · Flight A,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
shorter,instructional-session-planner.js | master-word-inventory | teacher-word-extension,er-more,-er,A,2-3,A,2-3,familiar,high,short + -er,,,Flight A Teacher-Led Figure It Out · Optional Practice Set || Flight A Teacher-Led Figure It Out · Retrieve || Flight A Teacher-Led Figure It Out · Word Part · Part A || Flight A Teacher-Led Find · Optional Practice Set || Flight A Teacher-Led Find · Retrieve || Flight A Teacher-Led Find · Word Part · Part A || Flight A Teacher-Led Learn · Optional Practice Set || Flight A Teacher-Led Learn · Retrieve || Flight A Teacher-Led Learn · Word Part · Part A || Flight A Teacher-Led Meaning · Optional Practice Set || Flight A Teacher-Led Meaning · Retrieve || Flight A Teacher-Led Meaning · Word Part · Part A || Flight A Teacher-Led Use It · Optional Practice Set || Flight A Teacher-Led Use It · Retrieve || Flight A Teacher-Led Use It · Word Part · Part A || Flight A Teacher-Led Word Hunt · Optional Practice Set || Flight A Teacher-Led Word Hunt · Retrieve || Flight A Teacher-Led Word Hunt · Word Part · Part A || Flight A Teacher-Led Word Part · Optional Practice Set || Flight A Teacher-Led Word Part · Retrieve || Flight A Teacher-Led Word Part · Word Part · Part A,,,,
simplify,instructional-session-planner.js | master-word-inventory | script.js,ify,-ify,B,4-5,B,4-5,academic,medium,,,Flight B Digital Learn,Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
sleeping,instructional-session-planner.js | master-word-inventory | script.js | word-inventory.js + instructional-word-selector.js,ing,-ing,A,2-3,A,2-3,familiar,high,sleep + ing,,Flight A Digital Break It Apart || Flight A Digital Find || Flight A Digital Learn || Flight A Digital Word Hunt,Flight A Teacher-Led Break It Apart · Optional Practice Set || Flight A Teacher-Led Break It Apart · Retrieve || Flight A Teacher-Led Break It Apart · Word Part · Part A || Flight A Teacher-Led Figure It Out · Optional Practice Set || Flight A Teacher-Led Figure It Out · Retrieve || Flight A Teacher-Led Figure It Out · Word Part · Part A || Flight A Teacher-Led Figure It Out · Word Part · Part B || Flight A Teacher-Led Find · Optional Practice Set || Flight A Teacher-Led Find · Retrieve || Flight A Teacher-Led Find · Word Part · Part A || Flight A Teacher-Led Find · Word Part · Part B || Flight A Teacher-Led Learn · Optional Practice Set || Flight A Teacher-Led Learn · Retrieve || Flight A Teacher-Led Learn · Word Part · Part A || Flight A Teacher-Led Learn · Word Part · Part B || Flight A Teacher-Led Meaning · Optional Practice Set || Flight A Teacher-Led Meaning · Retrieve || Flight A Teacher-Led Meaning · Word Part · Part A || Flight A Teacher-Led Meaning · Word Part · Part B || Flight A Teacher-Led Use It · Optional Practice Set || Flight A Teacher-Led Use It · Retrieve || Flight A Teacher-Led Use It · Word Part · Part A || Flight A Teacher-Led Use It · Word Part · Part B || Flight A Teacher-Led Word Hunt · Optional Practice Set || Flight A Teacher-Led Word Hunt · Retrieve || Flight A Teacher-Led Word Hunt · Word Part · Part A || Flight A Teacher-Led Word Part · Optional Practice Set || Flight A Teacher-Led Word Part · Retrieve || Flight A Teacher-Led Word Part · Word Part · Part A || Flight A Teacher-Led Word Part · Word Part · Part B,,,Learn / Find / Meaning / Word Part / Figure It Out,
sleepless,instructional-session-planner.js | master-word-inventory | word-inventory.js + instructional-word-selector.js,less,-less,A,4-5,B,4-5,familiar,high,sleep + -less,,Flight B Digital Break It Apart,Flight A Teacher-Led Break It Apart · Optional Practice Set || Flight A Teacher-Led Break It Apart · Retrieve || Flight A Teacher-Led Break It Apart · Word Part · Part A || Flight A Teacher-Led Figure It Out · Optional Practice Set || Flight A Teacher-Led Figure It Out · Retrieve || Flight A Teacher-Led Figure It Out · Word Part · Part A || Flight A Teacher-Led Find · Optional Practice Set || Flight A Teacher-Led Find · Retrieve || Flight A Teacher-Led Find · Word Part · Part A || Flight A Teacher-Led Learn · Optional Practice Set || Flight A Teacher-Led Learn · Retrieve || Flight A Teacher-Led Learn · Word Part · Part A || Flight A Teacher-Led Meaning · Optional Practice Set || Flight A Teacher-Led Meaning · Retrieve || Flight A Teacher-Led Meaning · Word Part · Part A || Flight A Teacher-Led Use It · Optional Practice Set || Flight A Teacher-Led Use It · Retrieve || Flight A Teacher-Led Use It · Word Part · Part A || Flight A Teacher-Led Word Hunt · Optional Practice Set || Flight A Teacher-Led Word Hunt · Retrieve || Flight A Teacher-Led Word Hunt · Word Part · Part A || Flight A Teacher-Led Word Part · Optional Practice Set || Flight A Teacher-Led Word Part · Retrieve || Flight A Teacher-Led Word Part · Word Part · Part A,,,Full practice; Build only when all displayed pieces are explicitly taught,
